dayname,color,theme,introit,gradual
"Good Friday","Black","Jesus' Atoning Death","Surely He has borne our griefs and carried our sorrows. He was wounded for our transgressions, He was bruised for our iniquities. All we like sheep have gone astray: and the Lord has laid on Him the iniquity of us all. Hear my prayer, O Lord: and let my cry come to You.  [The Gloria Patri is omitted on this day.]",""
"Quinquagesima","Green","Up to Jerusalem","Be my Rock of refuge, a Fortress of defense to save me. For You are my Rock and my Fortress, therefore for Your Name''s sake lead me and guide me. In You, O Lord, I put my trust, Let me never be ashamed. Glory...","<span class=""liturgist"">You have declared Your strength among the peoples.</span><br><span class=""congregation"">You have with Your arm redeemed Your people,</span><br><span class=""liturgist"">The sons of Jacob and Joseph.</span><br><span class=""congregation"">Make a joyful shout to the Lord, all You lands!</span><br><span class=""liturgist"">Serve the Lord with gladness, come before His presence with thanksgiving.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Pentecost 6","Green","","",""
"Ash Wednesday","Black or Purple","Penitence and Repentance","",""
"St. Matthew, Apostle and Evangelist","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Trinity 18","Green","Law and Gospel: The Great Commandment","Reward them who wait for You, O Lord, and let Your prophets be found faithful. Hear the prayer of Your servants and of Your people Israel. I was glad when they said to me, ""Let us go into the house of the Lord."" Glory...","<span class=""liturgist"">Let us go into the house of the Lord.</span><br><span class=""congregation"">Peace be within your walls,</span><br><span class=""liturgist"">Prosperity within your palaces.</span><br><span class=""congregation"">Praise the Lord, all you Gentiles!</span><br><span class=""liturgist"">Laud Him, all you peoples!</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 19","Green","Absolution: Jesus Forgives the Paralytic","Say to my soul, ""I am your Salvation."" The righteous cry out, and the Lord hears. He delivers them out of their troubles. Give ear, O My people, to My law; Incline your ears to the words of My mouth. Glory...","<span class=""liturgist"">The lifting up of my hands as the evening sacrifice.</span><br><span class=""congregation"">Attend to my cry, O Lord,</span><br><span class=""liturgist"">For I am brought very low.</span><br><span class=""congregation"">O, sing to the Lord a new song!</span><br><span class=""liturgist"">For He has done marvelous things.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Michaelmas 1","Green","Absolution: Jesus Forgives the Paralytic","Say to my soul, ""I am your Salvation."" The righteous cry out, and the Lord hears. He delivers them out of their troubles. Give ear, O My people, to My law; Incline your ears to the words of My mouth. Glory...","Absolution: Jesus Forgives the Paralytic","Say to my soul, ""I am your Salvation."" The righteous cry out, and the Lord hears. He delivers them out of their troubles. Give ear, O My people, to My law; Incline your ears to the words of My mouth. Glory...","<span class=""liturgist"">The lifting up of my hands as the evening sacrifice.</span><br><span class=""congregation"">Attend to my cry, O Lord,</span><br><span class=""liturgist"">For I am brought very low.</span><br><span class=""congregation"">O, sing to the Lord a new song!</span><br><span class=""liturgist"">For He has done marvelous things.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"St. James of Jerusalem","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Trinity 12","Green","Jesus Heals the Sick","Make haste, O God, to deliver me! Make haste to help me, O Lord! Let them be ashamed and confounded who seek my life. Let them be turned back and confused who desire my hurt. Let them be turned back because of their shame. Glory...","<span class=""liturgist"">His praise shall continually be in my mouth.</span><br><span class=""congregation"">My soul shall make its boast in the Lord;</span><br><span class=""liturgist"">The humble shall hear of it and be glad.</span><br><span class=""congregation"">Sing aloud to God our strength;</span><br><span class=""liturgist"">Make a joyful shout to the God of Jacob.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 13","Green","Charity: The Good Samaritan","Have respect, O Lord, to Your covenant; do not let the oppressed return ashamed. Arise, O God, plead Your own cause; do not forget the voice of Your enemies. O God, why have You cast us off forever? Why does Your anger smoke against the sheep of Your pasture? Glory...","<span class=""liturgist"">Do not let the oppressed return ashamed.</span><br><span class=""congregation"">Arise, O God, plead Your own cause;</span><br><span class=""liturgist"">Do not forget the voice of Your enemies.</span><br><span class=""congregation"">O Lord, God of my salvation;</span><br><span class=""liturgist"">I have cried out day and night before You.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 10","Green","Renewed Obedience: Jesus Cleanses the Temple","As for me, I will call upon God, He shall hear my voice. He has redeemed my soul in peace from the battle which was against me. God will hear, and afflict them, even He who abides of old. Cast your burden on the Lord, and He shall sustain you. Give ear to my prayer, O God, and do not hide Yourself. Glory...","<span class=""liturgist"">Hide me under the shadow of Your wings.</span><br><span class=""congregation"">Let my vindication come from Your presence;</span><br><span class=""liturgist"">Let Your eyes look on the things that are upright.</span><br><span class=""congregation"">O Lord, God of my salvation,</span><br><span class=""liturgist"">I have cried out day and night before You.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 11","Green","Humility: The Pharisee and the Tax-Collector","God is in His holy habitation; He sets the solitary in families. The God of Israel gives strength and power to His people. Let God arise, let His enemies be scattered; Let those also who hate Him flee before Him. Glory...","<span class=""liturgist"">My heart greatly rejoices and with my song I will praise Him.</span><br><span class=""congregation"">To You, I will cry, O Lord my Rock,</span><br><span class=""liturgist"">Do not be silent to me; hear the voice of my supplications.</span><br><span class=""congregation"">Lord, You have been our dwelling place</span><br><span class=""liturgist"">In all generations.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 16","Green","Death and Burial:Young Man of Nain","Be merciful to me, O Lord, For I cry to You all day long. For You Lord, are good, and ready to forgive. You are abundant in mercy to all those who call upon You. Bow down Your ear, O Lord, hear me; for I am poor and needy. Glory...","<span class=""liturgist"">And all the kings of the earth Your glory.</span><br><span class=""congregation"">For the Lord shall build up Zion;</span><br><span class=""liturgist"">He shall appear in His glory.</span><br><span class=""congregation"">You who fear the Lord, trust in the Lord;</span><br><span class=""liturgist"">He is their Help and their Shield.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
"Trinity 17","Green","Christian Freedom: Healing on the Sabbath","Righteous are You, O Lord, and upright are Your judgments. Deal with Your servant according to Your mercy. Blessed are the undefiled in the way, Who walk in the law of the Lord. Glory...","<span class=""liturgist"">And the people whom He has chosen as His own inheritance.</span><br><span class=""congregation"">By the Word of  the Lord the heavens were made.</span><br><span class=""liturgist"">And all the host of them by the breath of His mouth.</span><br><span class=""congregation"">The Right Hand of the Lord is exalted;</span><br><span class=""liturgist"">The Right Hand of the Lord does valiantly.</span><br><span class=""congregation"">Your Word is a lamp to my feet</span><br><span class=""liturgist"">And a light to my path.</span>"
