dayname,color,theme,introit,gradual
"Annunciation","Purple","Annunciation: The Virgin Shall Conceive","Rain down, you heavens from above, and let the skies pour down righteousness.  Let the earth open, and bring forth salvation.  My heart is overflowing with a good theme; I recite my composition concerning the King.  Glory...","<span class=""liturgist"">And a Branch shall grow out of his roots.</span><br><span class=""congregation"">Behold, the virgin shall conceive and bear a Son,</span><br><span class=""liturgist"">And shall call His name Immanuel.</span><br><span class=""congregation"">The angel came in and said to her, “Greetings, you who</span><br><span class=""liturgist"">are highly favored!</span><br><span class=""congregation"">“The Lord is with you.”</span><br><span class=""liturgist"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""congregation"">Even the death of the Cross.</span>"
"Advent 2","Purple","Watchfulness","Daughter of Zion, surely your Salvation is coming. The Lord will cause His glorious voice to be heard, and you shall have gladness of heart. Give ear, O Shepherd of Israel, You who lead Joseph like a flock; Stir up Your strength, and come and save us! Glory.. .","<span class=""liturgist"">Our God shall come, and shall not keep silent</span><br><span class=""congregation"">Gather My saints together to Me,</span><br><span class=""liturgist"">Those who have made a covenant with Me by sacrifice.</span><br><span class=""congregation"">The powers of the heavens will be shaken, then they shall see</span><br><span class=""liturgist"">the Son of Man</span><br><span class=""congregation"">Coming in a cloud with power and great glory.</span><br><span class=""liturgist"">Remember, O Lord, Your tender mercies and lovingkindness,</span><br><span class=""congregation"">For they are from of old.</span>"
"Advent 3","Purple","Forerunners of Christ","Rejoice in the Lord always. Again I will say, rejoice! Let your gentleness be known to all men. The Lord is at hand. Be anxious for nothing, but in everything by prayer and supplication, with thanksgiving, let your requests be known to God. Lord, You have been favorable to Your land; You have brought back the captivity of Jacob. Glory...","<span class=""liturgist"">And grant us Your Salvation.</span><br><span class=""congregation"">I will hear what God the Lord will speak, for He will speak peace to His people and to His saints.</span><br><span class=""liturgist"">Surely His Salvation is near to those who fear Him.</span><br><span class=""congregation"">Behold, I send My messenger,</span><br><span class=""liturgist"">And he will prepare the way before Me.</span><br><span class=""congregation"">Remember, O Lord, Your tender mercies and lovingkindness,</span><br><span class=""liturgist"">For they are from of old.</span>"
"Advent 1","Purple","Jesus, our Coming King","To You, O Lord, I lift up my soul; O my God, I trust in You. Let me not be ashamed; let not my enemies triumph over me. Indeed, let no one who waits on You be ashamed. Show me Your ways, O Lord; teach me Your paths. Glory be to the Father and to the Son and to the Holy Ghost; as it was in the beginning, is now, and ever shall be, forevermore. Amen.","<span class=""liturgist"">Show me Your ways, O Lord; teach me Your paths.</span><br><span class=""congregation"">Lift up Your heads, O you gates! Lift up, you everlasting doors!</span><br><span class=""liturgist"">And the King of Glory shall come in.</span><br><span class=""congregation"">Who is this King of Glory?</span><br><span class=""liturgist"">The Lord of Hosts, He is the King of Glory!</span><br><span class=""congregation"">Remember, O Lord, Your tender mercies and lovingkindness,</span><br><span class=""liturgist"">For they are from of old.</span>"
"Advent 4","Purple","Rejoice!","Rain down, you heavens from above, and let the skies pour down righteousness. Let the earth open, and bring forth salvation. The heavens declare the Glory of God, And the firmament shows His handiwork. Glory...","<span class=""liturgist"">To all that call upon Him in truth.</span><br><span class=""congregation"">My mouth shall speak the praise of the Lord,</span><br><span class=""liturgist"">And all flesh shall bless His holy Name.</span><br><span class=""congregation"">You are my Help and my Deliverer;</span><br><span class=""liturgist"">Do not delay, O my God.</span><br><span class=""congregation"">Let the heavens rejoice and let the earth be glad before the Lord,</span><br><span class=""liturgist"">For He has made known His Salvation.</span>"
"Maundy Thursday","Purple","The Lord's Supper","God forbid that I should glory Except in the cross of our Lord Jesus Christ. In Him is salvation, life, and resurrection from the dead: by Him we are redeemed and set at liberty. God be merciful to us and bless us: and cause His face to shine on us. Glory...",""
"Pentecost Vigil","Red","Holy Spirit","",""
"Epiphany","White","Jesus, Savior of Gentiles: The Wise Men","Behold, the Lord, the Ruler, has come, and the kingdom and the power and the glory are in His hand. All kings shall fall down before Him, all nations shall serve Him. Give the King Your judgments, O God, And Your righteousness to the King''s Son. Glory...","<span class=""liturgist"">And they shall proclaim the praises of the Lord.</span><br><span class=""congregation"">Arise, shine, for your Light is come</span><br><span class=""liturgist"">And the Glory of the Lord is risen upon you.</span><br><span class=""congregation"">We have seen His star in the east</span><br><span class=""liturgist"">And have come with gifts to worship the Lord.</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Pentecost second","Red","","",""
"Festival of the Reformation","Red","Reformation, Saints' Days","The Lord of Hosts is with us, the God of Jacob is our Refuge. Therefore we will not fear, though the earth be removed and the mountains be carried into the midst of the sea. God is our Refuge and Strength, A very present Help in trouble. Glory...","<span class=""liturgist"">In the city of our God, in His holy mountain.</span><br><span class=""congregation"">Walk about Zion, and go all around her. Count her towers, mark well her bulwarks.</span><br><span class=""liturgist"">That you may tell it to the generation following.</span><br><span class=""congregation"">For this is our God, our God forever and ever;</span><br><span class=""liturgist"">He will be our Guide, even to death.</span><br><span class=""congregation"">I will speak Your testimonies also before kings,</span><br><span class=""liturgist"">And will not be put to shame.</span>"
"Holy Saturday","Black","","",""
"Ascension","White","Exaltation of Christ","Men of Galilee, why do you stand gazing up into heaven? Alleluia! This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven. Alleluia! Alleluia! Oh, clap your hands, all you peoples! Shout to God with the voice of triumph! Glory...","<span class=""liturgist"">The Lord with the sound of a trumpet.</span><br><span class=""congregation"">Oh, clap your hands, all you peoples!</span><br><span class=""liturgist"">Shout to God with the voice of triumph!</span><br><span class=""congregation"">God reigns over the nations;</span><br><span class=""liturgist"">God sits on His holy throne.</span><br><span class=""congregation"">You have ascended on high,</span><br><span class=""liturgist"">You have led captivity captive.</span>"
"Pentecost 19","Green","","",""
"Nativity of St. John the Baptist","White","The Nativity of John the Baptist","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Lent 5","Purple","Jesus, Son of Abraham: Our High Priest","Vindicate me, O God, and plead my cause against an ungodly nation. Deliver me from the deceitful and unjust man. Send out Your light and Your truth; Let them lead me, let them bring me to Your holy hill. Glory...","<span class=""liturgist"">Teach me to do Your will.</span><br><span class=""congregation"">He delivers me from my enemies, You lift me up above those who rise against me.</span><br><span class=""liturgist"">You have delivered me from the violent man.</span><br><span class=""congregation"">Many a time they have afflicted me from my youth,</span><br><span class=""liturgist"">Yet they have not prevailed against me.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Lent 4","Purple","Bread of Life: Jesus Feeds Five Thousand","Rejoice with Jerusalem, and be glad with her, all you who love her. Rejoice with her, all you who mourn for her. I was glad when they said to me, ""Let us go into the house of the Lord."" Glory...","<span class=""liturgist"">“Let us go into the house of the Lord.”</span><br><span class=""congregation"">Peace be within your walls,</span><br><span class=""liturgist"">Prosperity within your palaces.</span><br><span class=""congregation"">Those who trust in the Lord are like Mount Zion</span><br><span class=""liturgist"">Which cannot be removed, but abides forever.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Easter","White","Jesus' Resurrection","When I awake, I am still with You. Alleluia! You have laid Your hand upon Me. Alleluia! Such knowledge is too wonderful for me, it is high, I cannot attain it. Alleluia! O Lord, You have searched me and known me, You have known my sitting down and my rising up. Glory...","<span class=""liturgist"">We will rejoice and be glad in it.</span><br><span class=""congregation"">Oh, give thanks to the Lord, for He is good!</span><br><span class=""liturgist"">Because His mercy endures forever.</span><br><span class=""congregation"">I shall not die, but live</span><br><span class=""liturgist"">And declare the works of the Lord.</span><br><span class=""congregation"">Hallelujah! Christ, our Passover is sacrificed for us.</span><br><span class=""liturgist"">Therefore let us keep the feast. Hallelujah!</span>"
"Christmas","White","Nativity of our Lord","Unto Us a Child is born, unto us a Son is given, and government will be upon His shoulder.  His name shall be called Worderful Counselor, Mighty God, Everlasting Father, Prince of Peace.  Oh, sing to the Lord a new song, For He has done marvelous things.  Glory...","<span class=""liturgist"">Shout joyfully to the Lord, all the earth.</span><br><span class=""congregation"">The Lord has made known His Salvation;</span><br><span class=""liturgist"">His Righteousness He has revealed in the sight of the nations.</span><br><span class=""congregation"">The Lord said to Me, “You are My Son, today I have begotten You.”</span><br><span class=""liturgist"">Oh, come let us sing to the Lord, let us worship and bow down.</span><br><span class=""congregation"">Let the heavens rejoice and let the earth be glad before the Lord,</span><br><span class=""liturgist"">For He has made known His Salvation.</span>"
"Lent 3","Purple","Triumph over Satan: Jesus Casts Out A Demon","My eyes are ever toward the Lord, for He shall pluck my feet out of the net. To You, O Lord, I lift up my soul, O my God, I trust in You. Turn Yourself to me and have mercy on me, For I am desolate and afflicted. Glory...","<span class=""liturgist"">Let the nations be judged in Your sight.</span><br><span class=""congregation"">When my enemies fall back</span><br><span class=""liturgist"">They shall perish at Your presence.</span><br><span class=""congregation"">Unto You I lift up my eyes, You who dwell in the heavens.</span><br><span class=""liturgist"">Have mercy upon us, O Lord, have mercy upon us!</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Lent 2","Purple","Persistent Faith: The Woman of Canaan","Remember, O Lord, Your tender mercies and lovingkindnesses, for they have been from of old. Let not my enemies triumph over me. Redeem Israel, O God, Out of all their troubles! To You, O LORD, I lift up my soul. O my God, I trust in You; Let me not be ashamed Glory...","<span class=""liturgist"">Oh, bring me out of my distresses!</span><br><span class=""congregation"">Look on my affliction and pain</span><br><span class=""liturgist"">And forgive me all my sins.</span><br><span class=""congregation"">O give thanks unto the Lord, for He is good!</span><br><span class=""liturgist"">For His mercy endures forever!</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Trinity 23","Green","Citizenship: Render to Caesar and to God","I know the thoughts I think toward you, says the Lord, thoughts of peace and not of evil. Then you will call upon Me and pray to Me, and I will listen to you. Lord, You have been favorable to Your land; You have brought back the captivity of Jacob. Glory...","<span class=""liturgist"">And have put to shame those who hated us.</span><br><span class=""congregation"">In God we boast all day long,</span><br><span class=""liturgist"">And praise Your Name forever.</span><br><span class=""congregation"">You who fear the Lord, trust in the Lord;</span><br><span class=""liturgist"">He is their Help and their Shield.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Michaelmas 5","Green","Citizenship: Render to Caesar and to God","I know the thoughts I think toward you, says the Lord, thoughts of peace and not of evil. Then you will call upon Me and pray to Me, and I will listen to you. Lord, You have been favorable to Your land; You have brought back the captivity of Jacob. Glory...","<span class=""liturgist"">And have put to shame those who hated us.</span><br><span class=""congregation"">In God we boast all day long,</span><br><span class=""liturgist"">And praise Your Name forever.</span><br><span class=""congregation"">You who fear the Lord, trust in the Lord;</span><br><span class=""liturgist"">He is their Help and their Shield.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Trinity 22","Green","Forgive as Forgiven: The Unmerciful Servant","If You, O Lord, should mark iniquities, O Lord, who could stand? But there is forgiveness with You, that You may be feared. Out of the depths I have cried to You, O Lord; Lord, hear my voice. Glory...","<span class=""liturgist"">For brethren to dwell together in unity!</span><br><span class=""congregation"">The Lord commanded the blessing:</span><br><span class=""liturgist"">Life forevermore.</span><br><span class=""congregation"">The Lord heals the brokenhearted</span><br><span class=""liturgist"">And binds up their wounds.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Michaelmas 4","Green","Forgive as Forgiven: The Unmerciful Servant","If You, O Lord, should mark iniquities, O Lord, who could stand? But there is forgiveness with You, that You may be feared. Out of the depths I have cried to You, O Lord; Lord, hear my voice. Glory...","<span class=""liturgist"">For brethren to dwell together in unity!</span><br><span class=""congregation"">The Lord commanded the blessing:</span><br><span class=""liturgist"">Life forevermore.</span><br><span class=""congregation"">The Lord heals the brokenhearted</span><br><span class=""liturgist"">And binds up their wounds.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Trinity 21","Green","Spiritual Armor","O Lord, King Almighty, Your power is over all things; there is no one who is able to resist Your will. You have made heaven and earth and all things enclosed by the heavens. Blessed are the undefiled in the way, Who walk in the law of the Lord. Glory...","<span class=""liturgist"">In all generations.</span><br><span class=""congregation"">Before the mountains were brought forth, or ever You had formed the earth and the world,</span><br><span class=""liturgist"">From everlasting to everlasting, You are God.</span><br><span class=""congregation"">Those who trust in the Lord are like Mount Zion,</span><br><span class=""liturgist"">Which cannot be moved, but abides forever.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Michaelmas 3","Green","Spiritual Armor","O Lord, King Almighty, Your power is over all things; there is no one who is able to resist Your will. You have made heaven and earth and all things enclosed by the heavens. Blessed are the undefiled in the way, Who walk in the law of the Lord. Glory...","<span class=""liturgist"">In all generations.</span><br><span class=""congregation"">Before the mountains were brought forth, or ever You had formed the earth and the world,</span><br><span class=""liturgist"">From everlasting to everlasting, You are God.</span><br><span class=""congregation"">Those who trust in the Lord are like Mount Zion,</span><br><span class=""liturgist"">Which cannot be moved, but abides forever.</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Trinity 20","Green","Confirmation: Perseverance in Faith","The Lord our God is righteous in all the works which He does, though we have not obeyed His voice. Give glory to Your Name, O Lord, and deal with Your servant according to Your mercy. Great is the Lord, and greatly to be praised In the city of our God, in His holy mountain. Glory...","<span class=""liturgist"">And You give them their food in due season.</span><br><span class=""congregation"">You open Your hand</span><br><span class=""liturgist"">And satisfy the desire of every living thing.</span><br><span class=""congregation"">Out of the depths I have cried to You, O Lord;</span><br><span class=""liturgist"">Lord, hear my voice!</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"Michaelmas 2","Green","Confirmation: Perseverance in Faith","The Lord our God is righteous in all the works which He does, though we have not obeyed His voice. Give glory to Your Name, O Lord, and deal with Your servant according to Your mercy. Great is the Lord, and greatly to be praised In the city of our God, in His holy mountain. Glory...","<span class=""liturgist"">And You give them their food in due season.</span><br><span class=""congregation"">You open Your hand</span><br><span class=""liturgist"">And satisfy the desire of every living thing.</span><br><span class=""congregation"">Out of the depths I have cried to You, O Lord;</span><br><span class=""liturgist"">Lord, hear my voice!</span><br><span class=""congregation"">Put on the whole armor of God,</span><br><span class=""liturgist"">That you may be able to stand against the wiles of the devil.</span>"
"St. Simon and St. Jude, Apostles","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Tuesday of Holy Week","Purple","","",""
"Trinity 24","Green","Death, A Sleep: Jairus' Daughter","Oh come, let us worship and bow down; let us kneel before the Lord our Maker. For He is our God, and we are the people of His pasture and the sheep of His hand. Oh come, let us sing to the Lord; Let us shout joyfully to the Rock of our salvation. Glory...","<span class=""liturgist"">My eyes from tears, and my feet from falling.</span><br><span class=""congregation"">I love the Lord,</span><br><span class=""liturgist"">Because He has heard my voice and my supplications.</span><br><span class=""congregation"">With You is the fountain of life;</span><br><span class=""liturgist"">In Your light we see light.</span><br><span class=""congregation"">Behold, I am coming quickly.</span><br><span class=""liturgist"">Amen. Even so, come, Lord Jesus!</span>"
"Michaelmas 6","Green","Death, A Sleep: Jairus' Daughter","Oh come, let us worship and bow down; let us kneel before the Lord our Maker. For He is our God, and we are the people of His pasture and the sheep of His hand. Oh come, let us sing to the Lord; Let us shout joyfully to the Rock of our salvation. Glory...","<span class=""liturgist"">My eyes from tears, and my feet from falling.</span><br><span class=""congregation"">I love the Lord,</span><br><span class=""liturgist"">Because He has heard my voice and my supplications.</span><br><span class=""congregation"">With You is the fountain of life;</span><br><span class=""liturgist"">In Your light we see light.</span><br><span class=""congregation"">Behold, I am coming quickly.</span><br><span class=""liturgist"">Amen. Even so, come, Lord Jesus!</span>"
"Lent 1","Purple","Temptation: Jesus Tempted by Satan","He shall call upon Me, and I will answer him, I will deliver him and honor him. With long life I will satisfy him and show him My Salvation. He that dwells in the secret place of the Most High Shall abide under the shadow of the Almighty. Glory...","<span class=""liturgist"">To keep you in all your ways.</span><br><span class=""congregation"">They shall bear you up in their hands</span><br><span class=""liturgist"">Lest you dash your foot against a stone.</span><br><span class=""congregation"">He that dwells in the secret place of the Most High</span><br><span class=""liturgist"">Shall abide under the shadow of the Almighty.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Visitation","Green","The Visitation of Mary","The rich among the people will seek your favor.  She shall be brought to the King in robes of many colors; The virgins, her companions who follow her, shall be brought to You.  With gladness and rejoicing they shall be brought.  My heart is overflowing with a good theme; I recite my composition concerning the King.  Glory...",""
"Transfiguration","White","Jesus' Transfiguration","The lightnings lit up the world, the earth trembled and shook. Blessed are those who dwell in Your house. How lovely is Your tabernacle, O Lord of hosts! My soul longs, yes, even faints for the courts of the Lord. Glory...","<span class=""liturgist"">Grace is poured upon Your lips.</span><br><span class=""congregation"">The Lord said to my Lord;</span><br><span class=""liturgist"">“Sit at My right hand, till I make Your enemies Your footstool.”</span><br><span class=""congregation"">Sing to the Lord, bless His Name; proclaim the good news of His salvation from day to day.</span><br><span class=""liturgist"">Declare His glory among the nations.</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Baptism of Jesus","Green","Baptism of Our Lord, Jesus","You are fairer than the sons of men, grace is poured upon Your lips.  Therefore God has blessed You forever.  Gird Your sword upon Your thigh, O Mighty One, With Your glory and Your majesty.  Glory...","<span class=""liturgist"">You have declared Your strength among the peoples.</span><br><span class=""congregation"">You have with Your arm redeemed Your people,</span><br><span class=""liturgist"">The sons of Jacob and Joseph.</span><br><span class=""congregation"">Make a joyful shout to the Lord, all You lands!</span><br><span class=""liturgist"">Serve the Lord with gladness, come before His presence with thanksgiving.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Epiphany 1","White","Youth: The Boy Jesus in the Temple","I saw the Lord sitting on a throne, high and lifted up. I heard the voice of a great multitude saying, ""Alleluia! For the Lord God Omnipotent reigns!"" Make a joyful shout to the Lord, all you lands. Serve the Lord with gladness. Glory...","<span class=""liturgist"">wondrous things.</span><br><span class=""congregation"">Blessed be His glorious Name forever!</span><br><span class=""liturgist"">The mountains will bring peace to Your people</span><br><span class=""congregation"">And the little hills righteousness.</span><br><span class=""liturgist"">Make a joyful shout to the Lord, all you lands.</span><br><span class=""congregation"">Serve the Lord with gladness.</span><br><span class=""liturgist"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""congregation"">The Glory of Your people Israel.</span>"
"Epiphany 2","White","Marriage & Family: Wedding in Cana","All the earth shall worship You and sing praises to You. They shall sing praises to Your Name. Make a joyful shout to God, all the earth! Sing out the honor of His Name, make His praise glorious. Glory...","<span class=""liturgist"">And delivered them from their destructions.</span><br><span class=""congregation"">Oh, that men would give thanks to the Lord for His goodness,</span><br><span class=""liturgist"">And for His wonderful works to the children of men!</span><br><span class=""congregation"">Praise Him, all His angels!</span><br><span class=""liturgist"">Praise Him, all His hosts!</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Epiphany 3","White","Missions: Jesus Heals a Leper and a Servant","Worship Him, all you gods; Zion hears and is glad. The daughters of Judah rejoice because of Your judgments, O Lord. The Lord reigns, let the earth rejoice; Let the multitude of the isles be glad. Glory...","<span class=""liturgist"">And all the kings of the earth Your glory.</span><br><span class=""congregation"">For the Lord shall build up Zion</span><br><span class=""liturgist"">He shall appear in His glory.</span><br><span class=""congregation"">The Lord reigns, let the earth rejoice;</span><br><span class=""liturgist"">Let the multitude of the isles be glad.</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Epiphany 4","White","Trust: Jesus Calms the Storm","Worship Him, all you gods; Zion hears and is glad. The daughters of Judah rejoice because of Your judgments, O Lord. The Lord reigns, let the earth rejoice; Let the multitude of the isles be glad. Glory...","<span class=""liturgist"">And all the kings of the earth Your glory.</span><br><span class=""congregation"">For the Lord shall build up Zion</span><br><span class=""liturgist"">He shall appear in His glory.</span><br><span class=""congregation"">The Lord reigns, let the earth rejoice;</span><br><span class=""liturgist"">Let the multitude of the isles be glad.</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Epiphany 5","White","The Church Militant: Tares Among the Wheat","Worship Him, all you gods; Zion hears and is glad. The daughters of Judah rejoice because of Your judgments, O Lord. The Lord reigns, let the earth rejoice; Let the multitude of the isles be glad. Glory...","<span class=""liturgist"">And all the kings of the earth Your glory.</span><br><span class=""congregation"">For the Lord shall build up Zion</span><br><span class=""liturgist"">He shall appear in His glory.</span><br><span class=""congregation"">The Lord reigns, let the earth rejoice;</span><br><span class=""liturgist"">Let the multitude of the isles be glad.</span><br><span class=""congregation"">Jesus Christ is the Light to lighten the Gentiles,</span><br><span class=""liturgist"">The Glory of Your people Israel.</span>"
"Epiphany 6","White","","",""
"Epiphany 7","White","","",""
"St. Peter and St. Paul, Apostles","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"St. Philip and St. James, Apostles","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"St. Luke the Evangelist","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Septuagesima","Green","By Grace Alone: Laborers in the Vineyard","The pangs of death encompassed me, the sorrows of hell surrounded me. The floods of ungodliness made me afraid. In my distress I called upon the Lord, And He heard my voice from His temple. Glory...","<span class=""liturgist"">And those who know Your Name will put their trust in You, for You, Lord, have not forsaken those who seek You.</span><br><span class=""congregation"">For the needy shall not always be forgotten, the expectation of the poor shall not perish forever.</span><br><span class=""liturgist"">Arise, O Lord, do not let man prevail.</span><br><span class=""congregation"">If You, Lord should mark iniquities, O Lord, who could stand?</span><br><span class=""liturgist"">But there is forgiveness with You, that You may be feared.</span><br><span class=""congregation"">Christ has humbled Himself and become obedient unto death,</span><br><span class=""liturgist"">Even the death of the Cross.</span>"
"Pentecost 20","Green","","",""
"Christmas 2","White","God's Protection: Fleeing to Egypt","When Israel was a child, I loved him, and out of Egypt I called My Son. Why do the nations rage, and the people plot a vain thing? The kings of the earth set themselves, and the rulers take counsel together, Against the Lord and against His Anointed. Glory...","<span class=""liturgist"">To give thanks to Your holy Name, to triumph in Your praise.</span><br><span class=""congregation"">You, O Lord, are our Father;</span><br><span class=""liturgist"">Our Redeemer from Everlasting is Your name.</span><br><span class=""congregation"">My mouth shall speak the praise of the Lord;</span><br><span class=""liturgist"">And all flesh shall bless His holy Name forever and ever.</span><br><span class=""congregation"">Let the heavens rejoice and let the earth be glad before the Lord,</span><br><span class=""liturgist"">For He has made known His Salvation.</span>"
"Christmas 1","White","The Presentation of Christ","Your testimonies are very sure, holiness adorns Your house O Lord, forever. Your throne is established from of old, You are everlasting. The Lord reigns, He is clothed with majesty; The Lord is clothed, He has girded Himself with strength. Glory...","<span class=""liturgist"">Grace is poured out on Your lips.</span><br><span class=""congregation"">My heart is overflowing with a good theme; I recite my composition concerning the King.</span><br><span class=""liturgist"">My tongue is the pen of a ready writer.</span><br><span class=""congregation"">God, Your God, has anointed You with the oil of gladness.</span><br><span class=""liturgist"">Your throne, O God, is forever and ever.</span><br><span class=""congregation"">Let the heavens rejoice and let the earth be glad before the Lord,</span><br><span class=""liturgist"">For He has made known His Salvation.</span>"
"Easter 2","White","Faith: Thomas Doubts, Then Believes","As newborn babes, desire the pure milk of the Word. Alleluia! Hear, O My people, and I will admonish you, O Israel, if you would listen to Me! Sing aloud to God our strength, make a joyful shout to the God of Jacob. Glory...","<span class=""liturgist"">Death no longer has dominion over Him.</span><br><span class=""congregation"">An angel of the Lord descended from heaven.</span><br><span class=""liturgist"">He rolled back the stone from the door, and sat on it.</span><br><span class=""congregation"">Blessed are those who have not seen</span><br><span class=""liturgist"">And yet have believed.</span><br><span class=""congregation"">Hallelujah! Christ, our Passover is sacrificed for us.</span><br><span class=""liturgist"">Therefore let us keep the feast. Hallelujah!</span>"
"Easter 3","White","Jesus, our Good Shepherd","The earth is full of the goodness of the Lord. Alleluia! By the Word of the Lord the heavens were made. Rejoice in the Lord, O you righteous! For praise from the upright is beautiful. Glory...","<span class=""liturgist"">In the breaking of bread.</span><br><span class=""congregation"">I am the Good Shepherd,</span><br><span class=""liturgist"">I know My sheep and am known by My own.</span><br><span class=""congregation"">My Father loves Me, because I lay down My life</span><br><span class=""liturgist"">That I may take it up again.</span><br><span class=""congregation"">Hallelujah! Christ, our Passover is sacrificed for us.</span><br><span class=""liturgist"">Therefore let us keep the feast. Hallelujah!</span>"
"Easter 6","White","Prayer","With a voice of singing, declare, proclaim this utter it even to the ends of the earth: say, ""The Lord has redeemed His servant Jacob."" Alleluia! O You who hear prayer, to You all flesh will come. Make a joyful shout to God, all the earth! Sing out the honor of His name, make His praise glorious. Glory...","<span class=""liturgist"">Has risen and appeared to us.</span><br><span class=""congregation"">If I am lifted up from the earth</span><br><span class=""liturgist"">I will draw all peoples to Myself.</span><br><span class=""congregation"">I came forth from the Father and have come into the world.</span><br><span class=""liturgist"">Again, I leave the world and go to the Father.</span><br><span class=""congregation"">Hallelujah! Christ, our Passover is sacrificed for us.</span><br><span class=""liturgist"">Therefore let us keep the feast. Hallelujah!</span>"
"Easter 7","White","The Promised Comforter","Hear, O God, when I cry with my voice. Alleluia! The Lord is my Light and my Salvation; whom shall I fear? When You said, ""Seek My face,"" my heart said to You: ""Your face, Lord I will seek."" Do not hide Your face from me. Glory...","<span class=""liturgist"">God sits on His holy throne.</span><br><span class=""congregation"">I will pour out the Spirit of grace and supplication</span><br><span class=""liturgist"">And they will look on Me whom they have pierced.</span><br><span class=""congregation"">I will not leave you orphans; I am going away and coming back to you</span><br><span class=""liturgist"">And your heart shall rejoice.</span><br><span class=""congregation"">Hallelujah! Christ, our Passover is sacrificed for us.</span><br><span class=""liturgist"">Therefore let us keep the feast. Hallelujah!</span>"
