dayname,type,number
Last,ilcwc,135
Last,ilcwc,136
Last,ilcwa,135
Last,ilcwa,136
Epiphany 8,ilcwb,36
Epiphany 8,ilcwc,36
Epiphany 8,ilcwc,89
Epiphany 8,ilcwa,36
All Saints' Day,ilcwb,137
All Saints' Day,ilcwb,138
All Saints' Day,ilcwc,137
All Saints' Day,ilcwc,138
All Saints' Day,ilcwa,137
All Saints' Day,ilcwa,138
Presentation of our Lord,ilcwb,12
Presentation of our Lord,ilcwb,13
Presentation of our Lord,ilcwc,12
Presentation of our Lord,ilcwc,13
Presentation of our Lord,ilcwa,12
Presentation of our Lord,ilcwa,13
Good Friday,ilcwb,58
Good Friday,ilcwb,59
Good Friday,ilcwc,58
Good Friday,ilcwc,59
Good Friday,ilcwa,58
Good Friday,ilcwa,59
Pentecost 6,ilcwb,90
Pentecost 6,ilcwc,90
Pentecost 6,ilcwa,90
Ash Wednesday,ilcwb,39
Ash Wednesday,ilcwc,39
Ash Wednesday,ilcwa,39
Third Last,ilcwb,131
Third Last,ilcwb,132
Third Last,ilcwc,131
Third Last,ilcwc,132
Third Last,ilcwa,131
Third Last,ilcwa,132
Circumcision and Name of Jesus,ilcwb,15
Circumcision and Name of Jesus,ilcwb,16
Circumcision and Name of Jesus,ilcwc,15
Circumcision and Name of Jesus,ilcwc,16
Circumcision and Name of Jesus,ilcwa,15
Circumcision and Name of Jesus,ilcwa,16
Pentecost,ilcwb,78
Pentecost,ilcwb,79
Pentecost,ilcwc,78
Pentecost,ilcwc,79
Pentecost,ilcwa,78
Pentecost,ilcwa,79
Pentecost 9,ilcwb,29
Pentecost 9,ilcwb,97
Pentecost 9,ilcwc,29
Pentecost 9,ilcwc,97
Pentecost 9,ilcwa,29
Pentecost 9,ilcwa,97
Christmas Vigil,ilcwb,9
Christmas Vigil,ilcwc,9
Christmas Vigil,ilcwa,9
Easter Vigil,ilcwb,60
Easter Vigil,ilcwc,60
Easter Vigil,ilcwa,60
Palm Sunday,ilcwb,51
Palm Sunday,ilcwb,52
Palm Sunday,ilcwc,51
Palm Sunday,ilcwc,52
Palm Sunday,ilcwa,51
Palm Sunday,ilcwa,52
Michaelmas,ilcwb,118
Michaelmas,ilcwc,118
Michaelmas,ilcwa,118
Annunciation,ilcwb,49
Annunciation,ilcwb,50
Annunciation,ilcwc,49
Annunciation,ilcwc,50
Annunciation,ilcwa,49
Annunciation,ilcwa,50
Advent 2,ilcwb,3
Advent 2,ilcwb,4
Advent 2,ilcwc,3
Advent 2,ilcwc,4
Advent 2,ilcwa,3
Advent 2,ilcwa,4
Advent 3,ilcwb,5
Advent 3,ilcwb,8
Advent 3,ilcwc,5
Advent 3,ilcwc,8
Advent 3,ilcwa,5
Advent 3,ilcwa,8
Advent 1,ilcwb,1
Advent 1,ilcwb,2
Advent 1,ilcwc,1
Advent 1,ilcwc,2
Advent 1,ilcwa,1
Advent 1,ilcwa,2
Advent 4,ilcwb,6
Advent 4,ilcwb,7
Advent 4,ilcwc,6
Advent 4,ilcwc,7
Advent 4,ilcwa,6
Advent 4,ilcwa,7
Maundy Thursday,ilcwb,56
Maundy Thursday,ilcwb,57
Maundy Thursday,ilcwc,56
Maundy Thursday,ilcwc,57
Maundy Thursday,ilcwa,56
Maundy Thursday,ilcwa,57
Pentecost Vigil,ilcwb,78
Pentecost Vigil,ilcwb,79
Pentecost Vigil,ilcwc,78
Pentecost Vigil,ilcwc,79
Pentecost Vigil,ilcwa,78
Pentecost Vigil,ilcwa,79
Epiphany,ilcwb,18
Epiphany,ilcwb,19
Epiphany,ilcwc,18
Epiphany,ilcwc,19
