"HYMN TITLE","Text","ELH#","TLH#","LW#","LBW#","CW#","HS'98#"
"To Your Temple I Draw Near","Heb 9:14",,2,207,,226,
"To Your Temple Lord I Come","Heb 9:14",,2,207,,226,
"Today in Triumph Christ Arose","1 Pet 1:3-5",358,,136,,164,
"Today Thy Mercy Calls Us","Rev 3:8",,279,347,304,339,
"Today Your Mercy Calls Us","Rev 3:8",,279,347,304,339,
"Triumphant from the Grave","1 Cor 15:20-26, 55-57",360,,144,,151,
"Triune God Oh Be Our Stay","Ps 18:18",18,247,170,308,192,
"True God and Yet a Man",,269,,,,,
"Twas in the Moon of Wintertime",,,,,72,,
"Twas on That Dark That Doleful Night","1 Cor 11: 23ff",,164,,127,136,
"Unto the Hills Around Do I Look Up",,,,,445,,
"Up Through the Endless Ranks of Angels","Acts 1:9-11",,,152,159,172,
"Upon the Cross Extended","Heb 9:28",304,171,120,,113,
"Upon the Cross Extended","Heb 9:28",304,171,121,,113,
"Vain World Now Farewell",,529,,,,,
"Victim Divine Your Grace We Claim",,,,,202,,
"Voices Raised to You","Col 3:16",,,,,,895
"Wake Awake for Night is Flying","Matt 25:1-13",544,609,177,31,206,
"Wake the Welcome Day Appeareth",,95,,,,,
"Watchman Tell Us of the Night","Is 21:11",,71,,,,
"We All Are One in Mission",,,,,,566,
"We All Believe in One True God","Apostle's Creed",37,252,212,,271,
"We All Believe in One True God","Nicene Creed",38,251,213,374,270,
"We All Believe in One True God Father","Apostle's Creed",37,252,212,,271,
"We All Believe in One True God Maker","Nicene Creed",38,251,213,374,270,
"We Are Called by One Vocation",,421,,,,,
"We Are the Lord's His All-Sufficient Merit","Rom 14:8",,453,,399,427,
"We Are Your People",,,,,,526,
"We Bid Thee Welcome in the Name","1 Cor 4:1, 2",,484,262,,547,
"We Bid You Welcome in the Name","1 Cor 4:1, 2",,484,262,,547,
"We Bless Thee Jesus Christ Our Lord",,275,,,,,
"We Christians May Rejoice Today","Luke 2:20",122,107,,,,
"We Give Thee But Thine Own","1 John 3:17",445,441,405,410,485,
"We Give You But Our Own","1 John 3:17",445,441,405,410,485,
"We Have a Sure Prophetic Word","2 Pet 1:19",234,290,340,,291,
"We Know that Christ is Raised and Dies No More","Rom 6:3-11",,,,189,,846
"We Now Implore God the Holy Ghost","John 16:19",33,231,155,317,190,
"We Place Upon Your Table Lord",,,,,217,,
"We Plow the Fields and Scatter",,,,,362,,
"We Praise O Christ Your Holy Name","John 1:14",,,35,,,
"We Praise Thee O God Our Redeemer Creator","Ps 26:12",466,568,494,241,609,
"We Praise You Lord for Jesus Christ",,,,,190,301,
"We Praise You O God Our Redeemer Creator","Ps 26:12",466,568,494,241,609,
"We Sing Immanuel Thy Praise","Matt 1:23",152,108,,,,
"We Sing the Almighty Power of God","Ps 149",,43,441,,261,
"We Sing the Praise of Him Who Died","Gal 6:14",,178,118,344,,
"We Sing Thy Praise O God",,45,,,,,
"We Thank Thee Jesus Dearest Friend","Eph 4:8",394,223,,,,
"We Thank You for Your Blessings",,,,,,615,
"We Who Once Were Dead",,,,,207,,
"We Worship You O God of Might","Rev 7:9-14",,,199,,,
"Weary of All Trumpeting","Col 2:8-10",428,,,,527,883
"Welcome Happy Morning","Acts 10:40",,202,135,153,163,
"Welcome to Earth O Noble Guest","Luke 2:1-20",,,38,,,
"Were You There When They Crucified My Lord","Matt 28:6",,,505,92,119,
"What a Friend We Have in Jesus","Matt 21:22",385,457,516,439,411,
"What Child is This","Luke 2:1-20",145,,61,40,67,
"What God Ordains Is Always Good","Deut 32:4",519,521,422,446,429,
"What Is the World to Me","1 John 2:15-17",446,430,418,,477,
"What Is This Bread?","1 Cor 11:23-29",,,,,,850
"What Our Father Does is Well","Hab 3:17, 18",,571,,,,
"What Wondrous Love is This O My Soul","1John 4:7-10",306,,,385,120,860
"Whatever God Ordains is Right","Deut 32:4",519,521,422,446,429,
"When Afflictions Sore Oppress You",,256,,,,,
"When Aimless Violence Takes Those We Love","1 Peter 2:21-24",,,,,,890
"When All the World was Cursed","Luke 1:41",107,272,187,,20,
"When All Thy Mercies O My God","Ps 33:1",,31,196,264,259,
"When All Your Mercies O My God","Ps 33:1",,31,196,264,259,
"When Christmas Morn is Dawning",,146,,,59,48,
"When Christ's Appearing Was Made Known","Matt 2:9",,,81,85,,
"When Earth With All Its Joys Defeats Me",,479,,,,,
"When God the Spirit Came",,,,,,187,
"When I Behold Jesus Christ","1 John 4:9-10",,,,,,859
"When I Suffer Pains and Losses","Ps 73:23",377,523,423,,428,
"When I Survey the Wondrous Cross","Gal 6:14",,175,114,482,125,
"When I Survey the Wondrous Cross","Gal 6:14",308,175,115,,,
"When in Our Music God is Glorified","Ps 150",380,,449,555,248,
"When in the Hour of Deepest Need","2 Chron 20:12",257,522,428,303,413,
"When in the Hour of Utmost Need","2 Chron 20:12",257,522,428,303,413,
"When Israel Through the Desert Passed",,231,,,,,
"When Israel Was in Egypt's Land","Ex 5:1-2",,,,,,825
"When Morning Gilds the Skies","Phil 2:9-11",85,,460,545,251,
"When Morning Gilds the Skies","Phil 2:9-11",,,,546,,
"When My Last Hour Is Close at Hand","John 15:5",481,594,,,,
"When o'er My Sins I Sorrow","Heb 10:14",276,152,367,,109,
"When Our Heads are Bowed With Woe",,274,,,,,
"When Over Sin I Sorrow","Heb 10:14",276,152,367,,109,
"When Peace Like a River Attendeth My Way",,,,,346,,
"When Seed Falls on Good Soil","Matt 13:8",,,338,236,,
"When Sinners See Their Lost Condition","John 20:19-26",111,65,,,32,
"When Streaming from the Eastern Skies","Ps 55:1",,543,,,,
"Where Charity and Love Prevail","John 13:1-17",,,,126,,878
"Where Cross the Crowded Years of Life",,,,,429,,
"Where Restless Crowds are Thronging",,,,,430,,
"Where Shepherds Lately Knelt","Luke 2:1-16",,,,,,813
"Where Shepherds Lately Knelt",,,,,,54,
"Where Wilt Thou Go Since Night Draws Near","Luke 24:29",578,197,,,,
"While Shepherds Watched Their Flocks by Night","Luke 2:11",147,109,70,,,
"While with Ceaseless Course the Sun","Ps 90:12",,113,,,,
"While Yet the Morn is Breaking","Ps 66:3",86,544,,,585,
"Who are These that Earnest Knock","Luke 2:4-16",,,63,,,
"Who Is This Host Arrayed in White",,,,,314,,
"Who Is This that Comes from Edom","2 Tim 1:10",,209,,,,
"Who Knows when Death May Overtake Me","Ps 90:12",483,598,,,210,
"Who Trusts in God a Strong Abode","Ps 73:25, 26",261,437,414,450,447,
"Whoever Would Be Saved",,39,,,,,
"Why do We Mourn Departing Friends","Mark 5:39",,593,,,,
"Why Should Cross and Trial Grieve Me","Ps 73:23",377,523,423,,428,
"Wide Open Are Thy Hands",,265,,,489,,
"Wide Open Are Your Hands",,265,,,489,,
"Wilt Thou Forgive that Sin Where I Begun",,498,,,,,
"With Broken Heart and Contrite Sigh","Luke 18:13",455,323,,,303,
"With God As Our Friend With His Spirit and Word",,,,,371,,
"With High Delight Let Us Unite","Is 52:9-10",,,134,140,168,
"With the Lord Begin Thy Task","Col 3:17",82,540,483,444,478,
"With the Lord Begin Your Task","Col 3:17",82,540,483,444,478,
"With Trembling Awe the Chosen Three",,225,,,,,
"Within the Father's House","Luke 2:41-52",185,133,80,,,
"Wondrous Are Your Ways O God",,,,,311,307,
"Wondrous King All-Glorious","Ps 150:6",,41,,,,
"Word Supreme Before Creation","John 21:20",,271,,,,
"Worthy Is Christ the Lamb Who Was Slain",,359,,,,,
"Ye Lands to the Lord Make a Jubilant Noise","Ps 100",56,44,205,256,252,
"Ye Parents, Hear What Jesus Taught","Mark 10:14",186,630,473,,516,
"Ye Sons and Daughters of the King","John 20",366,208,130,139,165,
"Ye Sons of Men Oh Hearken","Luke 3:4, 5",,75,25,,14,
"Ye Watchers and Ye Holy Ones","Ps 148",540,475,308,175,,
"Yea as I Live Jehovah Saith","Ezek 33:11",417,331,235,,308,
"You Are the Way Through You Alone","John 14:6",363,355,283,464,356,
"You Are the Way to You Alone","John 14:6",363,355,283,464,356,
"You Have Put on Christ","Gal 3:27",,,,,,845
"You Parents Hear What Jesus Taught","Mark 10:14",186,630,473,,516,
"You Satisfy the Hungry Heart","Ps 81:16",,,,,,855
"You Servants of God Your Master Proclaim",,,,,252,,
"You Will I Love My Strength","John 14:23",409,399,375,502,476,
"Your Hand O Lord in Days of Old","Mark 1:32-34",,,399,431,520,
"Your Heart O God is Grieved We Know","Is 53:3-6",,,,96,,820
"Your Kingdom Come O Father",,,,,384,,
"Your Kingdom Come O Father Hear Our Prayer",,,,,376,,
"Your Little Ones Dear Lord Are We",,,,,52,46,
"Your Love O God Has Called Us Hear",,,,,,601,
"Your Table I Approach","Mark 14:22-25",,310,249,,,
"Your Word O Lord is Gentle Dew",,,,,232,,
"Your Works Not Mine O Christ","Phil 3:9",,380,,,401,
"Yours Forever God of Love","Mal 3:17",515,338,256,,426,
"Zion Mourns in Fear and Anguish","Is 49:14-17",550,268,,,,
"Zion Stands by Hills Surrounded","Ps 125:2",,474,,,,
"Zion to Thy Savior Singing",,321,,,,,
"Zion, Rise, Zion, Rise","Rev 2-3",,479,,,,
"Love Came Down at Christmas","John 1:1-5",,,46,,,
"Christ Is the World's Redeemer","Acts 2:21-36",,,271,,,
"All Who Would Valiant Be","Heb 11:13-16, 33-40",,,384,498,,
